dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
EEG2,Model A (ResNet),features/layer1-0,occipital_parietal,3162277.660168379,0.24984334409236908,0.37789078112641283,0.02842843160033226,0.05517222793609286,0.04329357356789022,0.012040570883438129
EEG2,Model A (ResNet),features/layer2-0,occipital_parietal,3162277.660168379,0.2995065152645111,0.45465016361473676,0.05711999163031578,0.12385340748304721,0.04390622422454611,0.01822275532151034
EEG2,Model A (ResNet),features/layer3-0,occipital_parietal,1000000.0,0.3919379711151123,0.5974708340824357,0.13164131343364716,0.29930019394294066,0.03620884197921452,0.028387598010484343
EEG2,Model A (ResNet),features/layer3-10,occipital_parietal,1000000.0,0.39628973603248596,0.6052933799548853,0.1470937728881836,0.33904260674449693,0.038535872193834995,0.031374540037816624
EEG2,Model A (ResNet),features/layer3-15,occipital_parietal,1000000.0,0.4139593839645386,0.6325723807770504,0.16598881781101227,0.38385267946682156,0.057097520011390075,0.037732963026083734
EEG2,Model A (ResNet),features/layer3-20,occipital_parietal,1000000.0,0.4264889061450958,0.6528350687416754,0.17492073774337769,0.40794472719837616,0.05097727154020242,0.037645922708739274
EEG2,Model A (ResNet),features/layer3-25,occipital_parietal,1000000.0,0.446485698223114,0.6841655387151618,0.18931244313716888,0.4445324962176238,0.05855549148297664,0.039969944655283356
EEG2,Model A (ResNet),features/layer3-30,occipital_parietal,1000000.0,0.45782992243766785,0.7021974165911908,0.19864331185817719,0.4681743873856027,0.06380238913738252,0.042072613308570914
EEG2,Model A (ResNet),features/layer3-5,occipital_parietal,1000000.0,0.3993731439113617,0.6099659549387089,0.1480385661125183,0.34121173924295,0.03069029363259529,0.030747251027477666
EEG2,Model A (ResNet),features/layer4-1,occipital_parietal,1000000.0,0.44072070717811584,0.6705347835514506,0.17591172456741333,0.39970414425997525,0.07380255636210785,0.04722943474457349
EEG2,Model B (Qwen3),features/language_model-layers-11,occipital_parietal,316227.7660168379,0.34534430503845215,0.5219393677766515,0.04023858904838562,0.058212528516335835,0.035895330262371815,0.017345359440876187
EEG2,Model B (Qwen3),features/language_model-layers-16,occipital_parietal,316227.7660168379,0.3549173176288605,0.5365490481075398,0.05070595443248749,0.08351398303313803,0.04436737536409489,0.02401214238421224
EEG2,Model B (Qwen3),features/language_model-layers-3,occipital_parietal,316227.7660168379,0.3552018105983734,0.5376197897447544,0.03970689699053764,0.05646625240570944,0.033589013645336015,0.017605641048521626
EEG2,Model B (Qwen3),features/language_model-layers-8,occipital_parietal,316227.7660168379,0.3448251187801361,0.5221134515625402,0.03364615514874458,0.0447539233339478,0.0489366042411038,0.014888733352949716
EEG2,Model B (Qwen3),features/visual-blocks-10,occipital_parietal,100000.0,0.34514865279197693,0.5248526207153053,-0.01953129470348358,-0.07669948898991392,0.018765864199084447,0.024585502746962435
EEG2,Model B (Qwen3),features/visual-blocks-14,occipital_parietal,100000.0,0.3618662655353546,0.5500549789643331,0.01263840775936842,0.0017856407614044495,0.028658907963000305,0.03278109231406797
EEG2,Model B (Qwen3),features/visual-blocks-18,occipital_parietal,316227.7660168379,0.3902517259120941,0.5910430638480877,0.11414243280887604,0.24153269446673686,0.027793817794954035,0.03582054995428932
EEG2,Model B (Qwen3),features/visual-blocks-2,occipital_parietal,1000000.0,0.29892605543136597,0.4530852923180374,0.05318310856819153,0.10912205931316403,0.034932435059715064,0.022015822120446584
EEG2,Model B (Qwen3),features/visual-blocks-22,occipital_parietal,316227.7660168379,0.35980334877967834,0.5423546953966167,0.07458897680044174,0.13870459192647633,0.015538807511106994,0.030539893746328102
EEG2,Model B (Qwen3),features/visual-blocks-6,occipital_parietal,1000000.0,0.3968160152435303,0.6040228346241363,0.12973114848136902,0.2915720554515537,0.035187427112105284,0.03408780641687959
