dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model A (ResNet),features/layer1-0,monkeyF/IT,100000.0,0.3913153845136426,0.4052298614445899,0.12694442001504924,0.13336368824682676,0.3237341134679834,0.2447157537809992
TVSD,Model A (ResNet),features/layer1-0,monkeyF/V1,100000.0,0.7042481161716728,0.7246341265092308,0.4870834724328169,0.5138162677981158,0.601365359805656,0.7583878797425998
TVSD,Model A (ResNet),features/layer1-0,monkeyF/V4,100000.0,0.502338550677427,0.5118110895907991,0.24184362105563992,0.24963717419240866,0.37250600117204863,0.4377910193620131
TVSD,Model A (ResNet),features/layer1-0,monkeyN/IT,100000.0,0.4096403389681554,0.4184653227848982,0.12571534748527524,0.1280220209292922,0.2883911804137598,0.21430811093102023
TVSD,Model A (ResNet),features/layer1-0,monkeyN/V1,100000.0,0.7413224739753532,0.7514302327370945,0.5423938315871077,0.5571280710777725,0.5265209569279468,0.7782128483497277
TVSD,Model A (ResNet),features/layer1-0,monkeyN/V4,100000.0,0.5194165527195962,0.5303710337507002,0.25577939448447984,0.26503812925013664,0.41222931820014336,0.4862547041750173
TVSD,Model A (ResNet),features/layer2-0,monkeyF/IT,100000.0,0.4742882414800933,0.491134971288663,0.20134642911963807,0.21321878693493415,0.40495753964944675,0.36440791528013755
TVSD,Model A (ResNet),features/layer2-0,monkeyF/V1,100000.0,0.7063131114366809,0.7266265427029325,0.4891374925583659,0.5156842022477717,0.6012403485370156,0.7691072019301614
TVSD,Model A (ResNet),features/layer2-0,monkeyF/V4,100000.0,0.5801528540179081,0.591162504806452,0.31883998782277173,0.3298386936311182,0.4491995942820758,0.5401139691433025
TVSD,Model A (ResNet),features/layer2-0,monkeyN/IT,100000.0,0.48968628852128004,0.5000860050243653,0.20142362719706372,0.20712894045367627,0.3281180817886816,0.3280641268028335
TVSD,Model A (ResNet),features/layer2-0,monkeyN/V1,100000.0,0.7628325058552577,0.7731807133324569,0.5710299688683598,0.5863788758519025,0.5458430398046213,0.8146970493055126
TVSD,Model A (ResNet),features/layer2-0,monkeyN/V4,100000.0,0.6011965394394555,0.6140412276085909,0.34119509191505915,0.3542943843292652,0.4944747960259691,0.5918893753236958
TVSD,Model A (ResNet),features/layer3-0,monkeyF/IT,100000.0,0.5894774300796798,0.6104493928822756,0.3229905523163007,0.34395864775953,0.5441328620349617,0.54524462351707
TVSD,Model A (ResNet),features/layer3-0,monkeyF/V1,100000.0,0.683494133344985,0.7028691581078571,0.45737974680000104,0.48132521010972973,0.5666008014987046,0.7462558057974799
TVSD,Model A (ResNet),features/layer3-0,monkeyF/V4,100000.0,0.6747582714369311,0.6875976580216973,0.43451388273744534,0.450224839400733,0.5618026431433863,0.7029357799382883
TVSD,Model A (ResNet),features/layer3-0,monkeyN/IT,100000.0,0.6372468435176856,0.6511586105565546,0.36241612425215625,0.3754447095802906,0.5256685698083531,0.5873033791094863
TVSD,Model A (ResNet),features/layer3-0,monkeyN/V1,100000.0,0.7409219117567037,0.7509282518206373,0.5397567859484244,0.5541627502743295,0.4947098602374221,0.8005891558864413
TVSD,Model A (ResNet),features/layer3-0,monkeyN/V4,100000.0,0.6897205020451813,0.704655170719938,0.450427712155168,0.4688133658420552,0.5770132248489627,0.7060811374051401
TVSD,Model A (ResNet),features/layer3-10,monkeyF/IT,100000.0,0.6282382220890569,0.6503919189640122,0.3640927041634949,0.3881511050612831,0.6019432507432787,0.6019021880414077
TVSD,Model A (ResNet),features/layer3-10,monkeyF/V1,100000.0,0.6159632721777051,0.6330786488197097,0.3645871002042964,0.3831402272158675,0.44465189676194145,0.6326062908393139
TVSD,Model A (ResNet),features/layer3-10,monkeyF/V4,100000.0,0.6674733002259766,0.6798953527136582,0.4168077422827243,0.4314392077994418,0.551120862777748,0.6899551150868871
TVSD,Model A (ResNet),features/layer3-10,monkeyN/IT,100000.0,0.6887189027842675,0.7040443898471227,0.4266558849183847,0.44370664812477606,0.5374188995864041,0.6787370060281234
TVSD,Model A (ResNet),features/layer3-10,monkeyN/V1,100000.0,0.6929797348479922,0.7022518092590969,0.45658532500018056,0.4686759627619656,0.3960526525243095,0.7272822402754333
TVSD,Model A (ResNet),features/layer3-10,monkeyN/V4,100000.0,0.6884415220938358,0.7033326362649747,0.44152191482445224,0.45979177809538363,0.5642572726722257,0.6869928912518647
TVSD,Model A (ResNet),features/layer3-15,monkeyF/IT,100000.0,0.6501100479246137,0.6731410975063489,0.38998500318687646,0.4162978150338094,0.6269713420832805,0.6434681132685746
TVSD,Model A (ResNet),features/layer3-15,monkeyF/V1,100000.0,0.5991239239012355,0.6157269347656517,0.34412747430383134,0.36158896219768427,0.41780780967638764,0.6032129069897323
TVSD,Model A (ResNet),features/layer3-15,monkeyF/V4,100000.0,0.6616907104408649,0.6740662969208199,0.4081787251862864,0.4227472880804059,0.5496020892078036,0.666952207419888
TVSD,Model A (ResNet),features/layer3-15,monkeyN/IT,100000.0,0.7198433996959726,0.7361848506537583,0.47387006988529234,0.49379821988545425,0.539191188027578,0.7330900132553709
TVSD,Model A (ResNet),features/layer3-15,monkeyN/V1,100000.0,0.6713280898790921,0.6802979150916304,0.42669035832187424,0.4379763369420458,0.3643845590829512,0.6852591538537093
